scenario,horizon,model,delta_gbm,delta_sr,edd_mean,edd_ratio,out_of_range_pct,end_shift_days,window_shift_days,plant_shift_days,r3_shift_days,dTmax_JA_C
ssp245,late_century,ACCESS-ESM1-5,-2.2345,4.1815,63.0025,5.0836,19.2086,-10.0727,2.3924,-10.5752,-23.9906,4.1308
ssp245,late_century,CanESM5,-3.0524,-0.8124,100.4364,8.1041,43.4892,-9.6446,2.277,-10.9309,-22.9345,6.0651
ssp245,late_century,EC-Earth3,-0.3804,4.6004,46.1778,3.726,10.3597,-7.2903,1.7273,-9.6047,-17.3468,3.2964
ssp245,late_century,GFDL-ESM4,0.1786,4.783,35.8781,2.895,5.3957,-7.2288,1.7122,-7.6554,-17.2058,2.4459
ssp245,late_century,INM-CM5-0,-0.3619,3.0566,51.2338,4.134,12.9856,-6.8349,1.6115,-6.3978,-16.2565,3.6418
ssp245,late_century,MIROC6,-0.0406,3.7167,39.1579,3.1596,7.3381,-6.4946,1.5252,-6.4532,-15.4579,2.7488
ssp245,late_century,MPI-ESM1-2-LR,0.4245,3.3867,37.4862,3.0247,5.3597,-5.2403,1.2601,-4.5709,-12.4784,2.8836
ssp245,late_century,MRI-ESM2-0,-0.4343,5.5514,44.4095,3.5834,9.6763,-7.7597,1.8392,-8.5029,-18.4734,3.0254
ssp245,mid_century,ACCESS-ESM1-5,-1.4072,3.7792,56.7172,4.5765,16.295,-8.6432,2.0471,-9.0259,-20.5651,3.8897
ssp245,mid_century,CanESM5,-1.7566,0.8727,76.4559,6.1691,28.1655,-8.0694,1.9018,-7.8493,-19.1993,5.0952
ssp245,mid_century,EC-Earth3,0.7503,4.2374,29.3634,2.3693,3.0935,-5.459,1.2903,-6.2572,-12.9831,2.0806
ssp245,mid_century,GFDL-ESM4,1.134,3.3788,25.2964,2.0411,2.518,-4.9439,1.1899,-4.5065,-11.7791,1.5935
ssp245,mid_century,INM-CM5-0,0.0758,2.147,42.3187,3.4147,7.6259,-5.0734,1.1982,-4.4227,-12.0655,3.3599
ssp245,mid_century,MIROC6,0.1449,3.0037,37.9451,3.0617,6.1511,-5.7047,1.3525,-5.7108,-13.5662,2.794
ssp245,mid_century,MPI-ESM1-2-LR,0.9232,3.2074,26.7177,2.1558,2.7338,-4.2612,1.0241,-4.4119,-10.1601,1.9481
ssp245,mid_century,MRI-ESM2-0,0.3532,4.8913,37.4635,3.0229,5.5755,-6.3482,1.5036,-6.5205,-15.1126,2.7197
ssp585,late_century,ACCESS-ESM1-5,-5.4374,-2.0208,127.7103,10.3048,62.8417,-12.904,3.0888,-13.2173,-30.723,6.4845
ssp585,late_century,CanESM5,-4.5576,-24.7795,278.7771,22.4942,99.6403,-15.1986,3.6295,-16.3,-36.173,10.7821
ssp585,late_century,EC-Earth3,-3.5251,-1.314,119.8834,9.6733,56.8345,-11.3856,2.7223,-14.7129,-27.1133,6.5526
ssp585,late_century,GFDL-ESM4,-2.9267,2.6539,77.7204,6.2712,28.8129,-10.259,2.4331,-10.8763,-24.3921,4.9516
ssp585,late_century,INM-CM5-0,-2.9914,-2.3897,106.7541,8.6139,48.5252,-8.8881,2.1158,-8.545,-21.1665,6.495
ssp585,late_century,MIROC6,-4.4079,-1.1439,112.4852,9.0763,50.3597,-11.8432,2.8284,-13.2831,-28.1867,6.1039
ssp585,late_century,MPI-ESM1-2-LR,-3.6547,-8.0267,149.5848,12.0698,74.6043,-10.2083,2.4058,-11.0712,-24.2712,7.7937
ssp585,late_century,MRI-ESM2-0,-3.4065,3.2843,84.065,6.7831,32.8417,-10.6518,2.5302,-11.9633,-25.3486,5.1769
ssp585,mid_century,ACCESS-ESM1-5,-2.0826,3.9998,63.6576,5.1365,20.3237,-9.5176,2.2586,-10.2302,-22.6579,4.2471
ssp585,mid_century,CanESM5,-3.9217,-3.6566,121.6092,9.8125,58.1295,-10.3655,2.4522,-11.3694,-24.6486,6.8718
ssp585,mid_century,EC-Earth3,-0.1728,4.706,47.6971,3.8486,11.1151,-7.4061,1.7417,-9.9101,-17.6104,3.4463
ssp585,mid_century,GFDL-ESM4,0.5039,4.5252,31.6647,2.555,3.6331,-6.4424,1.5119,-7.2345,-15.3158,2.2033
ssp585,mid_century,INM-CM5-0,-0.7697,2.2649,58.7606,4.7413,16.8345,-6.818,1.6151,-6.4356,-16.2219,4.1263
ssp585,mid_century,MIROC6,-0.3319,4.245,42.7783,3.4517,8.9209,-7.4342,1.7367,-7.7784,-17.6554,3.0202
ssp585,mid_century,MPI-ESM1-2-LR,0.46,3.4772,34.4061,2.7762,4.0288,-5.1097,1.2241,-4.9572,-12.1723,2.5099
ssp585,mid_century,MRI-ESM2-0,-0.5004,5.5362,43.4555,3.5064,9.4604,-7.9464,1.8842,-8.6522,-18.9237,2.9712
