scenario,horizon,model,delta_gbm,delta_sr,edd_mean,edd_ratio,out_of_range_pct,end_shift_days,window_shift_days,plant_shift_days,r3_shift_days,dTmax_JA_C
ssp245,late_century,ACCESS-ESM1-5,-2.2308,2.7646,61.2138,4.9492,17.7994,-14.7677,1.3894,-10.5804,-23.9906,4.1308
ssp245,late_century,CanESM5,-2.8616,-2.586,93.6008,7.5677,39.8418,-17.585,1.6789,-10.9364,-22.9345,6.0651
ssp245,late_century,EC-Earth3,-0.8943,3.191,43.961,3.5543,7.9827,-11.5674,1.0741,-9.6102,-17.3468,3.2964
ssp245,late_century,GFDL-ESM4,0.1118,3.9479,35.0461,2.8335,5.142,-9.6037,0.9123,-7.6616,-17.2058,2.4459
ssp245,late_century,INM-CM5-0,-1.1247,1.7977,49.0775,3.9679,10.8954,-11.4678,1.0939,-6.4042,-16.2565,3.6418
ssp245,late_century,MIROC6,-0.3486,2.6612,38.0309,3.0748,6.3646,-9.7228,0.9238,-6.4595,-15.4579,2.7488
ssp245,late_century,MPI-ESM1-2-LR,0.1261,2.3026,36.5513,2.9552,4.9622,-8.7986,0.8342,-4.5778,-12.4784,2.8836
ssp245,late_century,MRI-ESM2-0,-0.7687,4.1003,41.9397,3.3908,7.4793,-12.0255,1.1413,-8.5088,-18.4734,3.0254
ssp245,mid_century,ACCESS-ESM1-5,-1.9135,2.2948,54.2844,4.3889,14.2035,-13.4847,1.2887,-9.0316,-20.5651,3.8897
ssp245,mid_century,CanESM5,-2.4866,-0.7778,72.8845,5.8928,25.4944,-14.484,1.3887,-7.8554,-19.1993,5.0952
ssp245,mid_century,EC-Earth3,0.7431,3.4437,28.9583,2.3413,2.9126,-7.685,0.7371,-6.2636,-12.9831,2.0806
ssp245,mid_century,GFDL-ESM4,1.2292,2.9935,25.1896,2.0366,2.5171,-6.0342,0.5757,-4.5135,-11.7791,1.5935
ssp245,mid_century,INM-CM5-0,-0.3159,1.1492,41.5181,3.3568,6.5804,-8.8504,0.8281,-4.4297,-12.0655,3.3599
ssp245,mid_century,MIROC6,-0.1952,2.0661,37.1418,3.0029,5.5735,-8.8472,0.8576,-5.7174,-13.5662,2.794
ssp245,mid_century,MPI-ESM1-2-LR,0.9061,2.6041,26.4921,2.1419,2.7328,-6.246,0.6117,-4.4189,-10.1601,1.9481
ssp245,mid_century,MRI-ESM2-0,0.053,3.6978,36.2582,2.9315,4.9982,-9.8821,0.9356,-6.5268,-15.1126,2.7197
ssp585,late_century,ACCESS-ESM1-5,-3.9801,-3.9912,116.0802,9.3852,55.0521,-22.5656,2.128,-13.2215,-30.723,6.4845
ssp585,late_century,CanESM5,-4.4529,-22.0493,231.8225,18.743,98.6336,-29.9457,2.8367,-16.3038,-36.173,10.7821
ssp585,late_century,EC-Earth3,-2.6962,-2.8405,104.6976,8.4649,47.2132,-21.0737,2.0111,-14.7174,-27.1133,6.5526
ssp585,late_century,GFDL-ESM4,-2.4507,0.9897,73.9496,5.9789,25.7102,-16.466,1.5811,-10.8813,-24.3921,4.9516
ssp585,late_century,INM-CM5-0,-3.1951,-4.0533,99.8894,8.0761,44.2647,-17.1374,1.63,-8.5509,-21.1665,6.495
ssp585,late_century,MIROC6,-3.618,-2.8564,104.374,8.4387,45.9907,-19.8472,1.8936,-13.288,-28.1867,6.1039
ssp585,late_century,MPI-ESM1-2-LR,-3.9268,-9.0907,133.3435,10.7809,67.278,-20.6472,1.9734,-11.0766,-24.2712,7.7937
ssp585,late_century,MRI-ESM2-0,-2.4814,1.1817,77.9712,6.304,28.5149,-18.1593,1.7206,-11.968,-25.3486,5.1769
ssp585,mid_century,ACCESS-ESM1-5,-2.4482,2.3074,59.9169,4.8443,17.0802,-15.2416,1.4513,-10.2355,-22.6579,4.2471
ssp585,mid_century,CanESM5,-3.2877,-5.2905,111.177,8.9887,51.6361,-19.5361,1.8493,-11.3747,-24.6486,6.8718
ssp585,mid_century,EC-Earth3,-0.8329,3.2709,45.4191,3.6722,8.5581,-11.7943,1.1147,-9.9155,-17.6104,3.4463
ssp585,mid_century,GFDL-ESM4,0.4275,3.76,31.0787,2.5127,3.488,-8.5451,0.8181,-7.2406,-15.3158,2.2033
ssp585,mid_century,INM-CM5-0,-1.5734,0.815,56.2003,4.5438,15.2823,-12.1604,1.1478,-6.4419,-16.2219,4.1263
ssp585,mid_century,MIROC6,-0.7262,3.1409,41.4857,3.3541,7.2995,-10.8008,1.0392,-7.7846,-17.6554,3.0202
ssp585,mid_century,MPI-ESM1-2-LR,0.2599,2.43,33.4172,2.7018,3.8116,-8.5228,0.8166,-4.964,-12.1723,2.5099
ssp585,mid_century,MRI-ESM2-0,-0.7423,4.1452,41.3412,3.3425,7.0478,-11.9586,1.1312,-8.658,-18.9237,2.9712
