scenario,horizon,mg,mature_rate,seedfill,podfill,r6_doy,r8_doy,frost_margin,season_edd,win_edd,water_deficit,pred
baseline,baseline,2.0,0.5557,28.2297,55.2016,257.1541,266.1406,26.6814,14.7913,8.9236,62.67,-12.2586
baseline,baseline,2.5,0.4989,30.4479,58.2335,260.8085,268.7638,24.0764,16.8541,9.9388,72.2088,-7.8751
baseline,baseline,3.0,0.4168,32.5544,61.187,264.1703,272.5047,20.3992,19.3285,11.1717,81.6444,-3.5006
baseline,baseline,3.5,0.3374,34.3013,63.8054,266.9113,277.0287,16.59,22.2734,12.5922,92.7315,0.763
baseline,baseline,4.0,0.2854,35.6715,66.0287,269.4025,280.4624,14.737,25.5269,14.186,106.7563,4.9204
baseline,baseline,4.5,0.2314,37.7727,68.8457,272.5047,283.3167,11.3665,29.4421,16.0816,125.75,8.9427
baseline,baseline,5.0,0.1553,40.4067,72.2828,276.2717,282.1,11.8545,33.3084,17.638,143.0422,13.1752
ssp245,late_century,2.0,0.9863,18.3897,40.8075,230.5703,241.0885,63.638,33.5412,22.8079,53.9961,-14.6782
ssp245,late_century,2.5,0.9736,19.4014,42.8504,234.2749,245.6581,59.1767,35.3439,23.7519,58.9259,-10.3331
ssp245,late_century,3.0,0.9554,20.562,44.98,238.0664,249.9849,55.0978,37.0418,24.5514,64.002,-5.9267
ssp245,late_century,3.5,0.9256,21.9165,47.3714,242.0865,254.4643,50.7835,38.7102,25.3011,69.0871,-1.5058
ssp245,late_century,4.0,0.8854,23.4274,49.9127,246.1839,259.2812,46.23,40.4005,25.976,74.2161,2.8965
ssp245,late_century,4.5,0.8339,24.8615,52.3601,249.9849,264.2812,41.4741,42.5577,26.8788,80.1539,7.3024
ssp245,late_century,5.0,0.7506,26.4969,55.0113,253.9429,268.5317,37.5862,44.6725,27.574,85.9276,11.6994
ssp245,mid_century,2.0,0.9605,19.3395,42.3656,235.6475,246.8789,56.6673,29.3393,20.2381,55.1516,-14.32
ssp245,mid_century,2.5,0.9315,20.6489,44.6865,239.6631,251.2016,52.5376,30.9319,21.0434,60.3448,-9.9079
ssp245,mid_century,3.0,0.8976,22.1543,47.2596,243.803,256.2875,47.6899,32.4807,21.7477,65.3722,-5.4557
ssp245,mid_century,3.5,0.8424,23.6655,49.7971,247.7447,261.1044,43.1283,34.3179,22.5569,71.1454,-1.0332
ssp245,mid_century,4.0,0.7656,25.3484,52.4763,251.7757,265.4067,39.1494,36.2039,23.2641,77.2734,3.3976
ssp245,mid_century,4.5,0.675,27.5565,55.6371,256.2875,269.0538,36.0687,38.2196,24.0252,83.6228,7.8364
ssp245,mid_century,5.0,0.5811,29.9648,58.9562,260.6803,272.6522,32.6818,40.6651,25.1268,90.5944,12.2303
ssp585,late_century,2.0,1.0,15.6818,35.5462,216.6641,225.1456,94.3107,65.6153,48.6865,56.0262,-17.504
ssp585,late_century,2.5,1.0,16.3599,36.9993,219.7264,228.6447,90.8116,70.6135,52.3025,63.044,-13.4378
ssp585,late_century,3.0,1.0,17.0568,38.5027,222.8112,232.1755,87.2808,75.2942,55.4574,70.2639,-9.3341
ssp585,late_century,3.5,1.0,17.7828,40.0723,225.9252,235.8087,83.6476,79.8074,58.334,77.3202,-5.1776
ssp585,late_century,4.0,0.9989,18.512,41.6749,229.0356,239.4937,79.9536,84.246,60.9708,84.0953,-1.0148
ssp585,late_century,4.5,0.9975,19.2798,43.3056,232.1755,243.2725,76.2026,88.4668,63.2431,90.5538,3.1752
ssp585,late_century,5.0,0.9939,20.1,45.0223,235.3844,247.1803,72.2982,92.3419,65.0944,96.7269,7.3345
ssp585,mid_century,2.0,0.9892,18.1667,40.5492,230.1512,240.439,66.6624,34.3156,23.467,54.2244,-14.786
ssp585,mid_century,2.5,0.9827,19.1509,42.5289,233.7805,244.8406,62.3225,36.2831,24.5757,59.2998,-10.4264
ssp585,mid_century,3.0,0.9674,20.2686,44.6159,237.55,249.4373,57.8206,38.0764,25.4735,64.375,-6.0372
ssp585,mid_century,3.5,0.9385,21.4793,46.8359,241.3981,253.5002,53.9199,39.874,26.3595,69.3526,-1.6587
ssp585,mid_century,4.0,0.9087,22.8688,49.2496,245.4172,258.0585,49.6424,41.6321,27.1224,74.5138,2.7668
ssp585,mid_century,4.5,0.8593,24.4157,51.8318,249.4373,263.0127,44.9172,43.6075,27.9434,79.8751,7.1472
ssp585,mid_century,5.0,0.7985,25.7563,54.1044,253.0215,267.5007,40.8831,46.0564,28.9101,86.3354,11.5222
