year,blooming,harvested,leaves,planted,pods
1980,,,,138.36,
1981,201.21,295.5,261.65,139.57,220.05
1982,207.2,299.69,264.05,151.0,222.33
1983,203.16,286.2,261.36,147.89,219.88
1984,203.77,280.6,261.93,146.53,219.96
1985,200.79,300.19,265.95,141.95,218.15
1986,201.21,292.2,265.06,148.63,217.12
1987,191.4,274.14,250.81,134.67,207.29
1988,187.26,271.33,249.75,136.0,204.6
1989,198.33,276.38,255.75,140.43,215.08
1990,200.93,279.4,257.92,147.45,218.13
1991,200.16,279.97,260.72,153.37,216.45
1992,203.8,284.36,265.47,135.67,220.91
1993,213.0,286.82,275.53,150.58,234.0
1994,191.0,287.17,259.98,137.45,212.0
1995,202.25,288.95,261.27,144.86,
1996,204.68,283.44,266.21,150.39,
1997,202.17,275.58,260.96,136.71,218.5
1998,193.24,273.06,255.49,,210.0
1999,199.0,279.6,262.0,144.7,217.75
2000,196.79,271.05,257.13,127.36,214.33
2001,202.32,279.35,262.03,143.77,220.14
2002,195.0,286.5,257.12,138.5,213.42
2003,197.92,274.4,254.53,140.5,215.0
2004,201.04,287.29,268.25,130.84,222.17
2005,194.92,278.5,258.29,146.14,212.75
2006,192.96,279.05,256.39,140.34,208.45
2007,190.75,275.06,252.97,133.88,208.65
2008,202.0,280.33,264.4,142.72,220.0
2009,203.21,301.5,263.22,136.42,221.0
2010,195.75,278.77,257.94,136.62,213.47
2011,202.96,277.19,262.91,147.6,219.64
2012,188.42,268.13,252.77,135.14,206.04
2013,204.66,284.13,266.04,150.31,221.13
2014,201.78,282.85,266.4,145.27,213.79
2015,189.97,273.2,257.87,126.32,208.31
2016,192.58,278.92,260.73,130.65,209.08
2017,197.64,288.92,263.5,134.84,212.75
2018,194.25,290.5,257.2,140.44,207.38
2019,202.95,295.8,269.08,152.56,215.19
2020,189.04,275.43,259.1,128.77,206.65
2021,188.82,273.38,255.28,126.5,205.46
2022,199.22,279.32,265.43,147.48,216.08
2023,189.68,278.96,257.75,140.09,206.88
2024,198.0,276.18,266.47,139.72,217.88
2025,196.88,288.59,264.88,130.53,212.67
2026,188.86,,254.78,129.71,203.33
