variable,count,mean,std,min,25%,50%,75%,max,cv_%
yield_bu_ac,3340.0,38.365,10.38,7.0,31.0,38.0,45.525,67.4,27.1
yield_kg_ha,3340.0,2580.057,698.081,470.757,2084.78,2555.537,3061.6,4532.715,27.1
yield_anom,3332.0,0.0,5.414,-28.293,-2.86,0.792,3.765,18.496,6272419976440471.0
acres_planted,3341.0,85761.688,62826.988,100.0,28000.0,82200.0,130400.0,326000.0,73.3
production_bu,3340.0,3449660.599,2743298.256,1700.0,945650.0,3105850.0,5251250.0,13025000.0,79.5
pcp_grow,3341.0,21.215,5.383,8.65,17.24,20.36,24.74,41.08,25.4
pcp_critical,3341.0,7.647,2.692,1.92,5.69,7.37,9.25,19.15,35.2
tmp_grow,3341.0,61.292,2.098,53.533,59.917,61.5,62.75,66.3,3.4
tmax_critical,3341.0,80.691,2.646,71.4,79.15,80.8,82.45,88.9,3.3
pdsi08,3341.0,0.984,2.781,-7.5,-1.05,1.36,3.02,9.79,282.7
zndx08,3341.0,0.499,2.364,-4.64,-1.27,0.37,1.94,12.54,473.8
