year,ge_aug,yield_anom,season_edd,wb_min_water_frac,win_prcp_mm
1986,69.4,2.309,1.29,0.661,205.677
1987,75.0,5.11,15.137,0.345,108.007
1988,7.75,-8.257,63.667,0.146,141.298
1989,46.5,0.945,19.319,0.234,145.8
1990,47.25,2.509,6.893,0.352,115.372
1991,65.5,2.395,6.288,0.304,165.102
1992,33.6,-5.541,0.754,0.521,138.776
1993,6.6,-10.97,0.159,0.719,162.534
1994,76.25,2.647,0.688,0.483,160.722
1995,66.5,3.126,4.416,0.521,142.818
1996,55.75,-0.559,2.175,0.251,84.552
1997,62.6,1.007,2.258,0.449,118.281
1998,71.8,3.547,5.642,0.202,101.37
1999,61.4,3.257,7.555,0.499,144.687
2000,65.75,2.258,8.613,0.235,92.772
2001,47.75,-2.647,13.613,0.242,97.239
2002,65.75,4.185,18.939,0.461,171.961
2003,51.6,-8.997,18.525,0.106,84.946
2004,55.4,-7.488,2.64,0.392,146.259
2005,66.5,3.606,23.305,0.225,128.791
2006,59.0,3.516,32.64,0.165,118.655
2007,45.75,-0.79,19.935,0.172,162.179
2008,68.6,-4.849,4.482,0.293,100.263
2009,67.4,-2.332,2.539,0.318,90.819
2010,87.6,2.619,2.709,0.572,201.325
2011,68.5,-4.587,4.297,0.223,57.026
2012,57.75,-0.188,35.442,0.11,67.918
2013,59.25,-3.701,13.059,0.152,73.844
2014,65.6,-3.849,0.436,0.396,144.425
2015,80.6,5.766,6.258,0.378,142.516
2016,79.75,7.318,4.354,0.545,209.087
2017,73.5,1.929,4.9,0.414,143.534
2018,71.5,2.153,5.597,0.309,135.119
2019,60.0,-2.959,0.87,0.486,192.112
2020,82.8,3.091,4.002,0.387,122.643
2021,31.8,0.711,27.766,0.16,165.696
2022,65.75,1.803,12.108,0.268,119.338
2023,48.5,-1.434,24.106,0.131,79.809
2024,63.0,-3.78,1.307,0.343,99.399
