variable,r_detrended,r2,r_raw_yield,r_champaign,n
pcp_critical_anom,0.2788,0.0777,0.175,0.202,3332
pcp_critical_z,0.2683,0.072,0.1673,0.202,3332
pcp_critical,0.2655,0.0705,0.2361,0.202,3332
tmp_grow_z,0.257,0.066,0.1866,0.2232,3332
tmp_grow_anom,0.2552,0.0651,0.1807,0.2232,3332
zndx_critical,0.2256,0.0509,0.1652,0.1631,3332
pcp08_anom,0.2242,0.0503,0.1584,0.1715,3332
heat_x_dry,-0.2212,0.0489,-0.1876,-0.1711,3332
pcp08_z,0.2183,0.0477,0.1514,0.1715,3332
zndx08_z,0.2175,0.0473,0.1627,0.1634,3332
zndx08_anom,0.2158,0.0466,0.1639,0.1634,3332
pcp08,0.2152,0.0463,0.2191,0.1715,3332
zndx08,0.2141,0.0459,0.1829,0.1634,3332
tmp06,0.1871,0.035,0.5162,0.1995,3332
tmp_grow,0.1806,0.0326,0.5326,0.2232,3332
pcp07,0.1767,0.0312,0.1292,0.101,3332
pcp05,-0.1728,0.0299,0.1597,-0.2925,3332
tmp_summer,0.1688,0.0285,0.4621,0.1695,3332
pcp_summer,0.1658,0.0275,0.2275,0.0839,3332
tmp07,0.1631,0.0266,0.3364,0.1297,3332
tmp_critical_z,0.1487,0.0221,0.0505,0.1034,3332
tmp_critical_anom,0.1481,0.0219,0.05,0.1034,3332
tmp04,0.1476,0.0218,0.1746,0.1242,3332
zndx07,0.1452,0.0211,0.081,0.082,3332
tmin04,0.1433,0.0205,0.2755,0.1337,3332
pcp_win,-0.1358,0.0184,0.2234,-0.1576,3332
tmax07,0.1337,0.0179,0.1967,0.1575,3332
tmax_jja,0.1307,0.0171,0.2963,0.1409,3332
tmax_summer,0.1307,0.0171,0.2963,0.1409,3332
zndx_jja,0.1273,0.0162,0.1273,0.0574,3332
tmp_critical,0.1262,0.0159,0.343,0.1034,3332
pdsi08_z,0.1067,0.0114,0.1161,0.0395,3332
tmin09,0.1061,0.0113,0.581,0.2199,3332
pcp_grow_cv,-0.1035,0.0107,-0.0879,-0.2159,3332
pdsi08_anom,0.1012,0.0102,0.1134,0.0395,3332
pdsi08,0.1,0.01,0.141,0.0395,3332
pdsi_may,-0.0991,0.0098,0.1214,-0.1787,3332
pdsi06,-0.0962,0.0093,0.0893,-0.1701,3332
tmax_critical_z,0.0814,0.0066,-0.0695,0.0863,3332
tmax_critical_anom,0.0809,0.0065,-0.0723,0.0863,3332
pcp04,-0.0807,0.0065,0.2114,-0.0869,3332
tmax_critical,0.076,0.0058,0.1701,0.0863,3332
tmp09,0.0736,0.0054,0.5851,0.1578,3332
tmin05,0.0611,0.0037,0.3288,0.0218,3332
pdsi_critical,0.0578,0.0033,0.1242,-0.024,3332
tmp08,0.0562,0.0032,0.2669,0.0434,3332
pcp06,-0.056,0.0031,0.0878,-0.0911,3332
tmp05,0.0547,0.003,0.2058,0.0216,3332
pcp_grow_z,0.051,0.0026,0.1146,-0.0125,3332
pcp_grow_anom,0.0474,0.0022,0.1233,-0.0125,3332
pcp_grow,0.0417,0.0017,0.2724,-0.0125,3332
tmp_grow_sd,-0.0417,0.0017,0.0601,-0.0222,3332
tmin10,0.0333,0.0011,0.4058,0.0527,3332
pcp09,0.0261,0.0007,0.0252,0.1045,3332
pdsi07,0.0124,0.0002,0.0999,-0.0855,3332
tmax08_z,-0.0107,0.0001,-0.1139,-0.0138,3332
tmp_range_crit,-0.0094,0.0001,-0.3155,-0.0537,3332
pdsi_jja,0.0077,0.0001,0.116,-0.0719,3332
tmax08_anom,-0.0075,0.0001,-0.1139,-0.0138,3332
tmax08,-0.0072,0.0001,0.0966,-0.0138,3332
pcp_prevND,-0.0023,0.0,0.158,0.0568,3332
