model,term,coef,se,t,p,ci_low,ci_high
M1 Baseline pooled OLS,Intercept,-30.44463,2.15355,-14.13694,0.0,-34.66552,-26.22375
M1 Baseline pooled OLS,PCP,0.56365,0.04858,11.60226,0.0,0.46843,0.65886
M1 Baseline pooled OLS,TMX,0.3229,0.02696,11.97724,0.0,0.27006,0.37574
M2 Quadratic + interaction,Intercept,-812.92131,61.71344,-13.17252,0.0,-933.87742,-691.9652
M2 Quadratic + interaction,PCP,-4.62736,1.37321,-3.36975,0.00075,-7.3188,-1.93593
M2 Quadratic + interaction,PCP2,-0.07848,0.00938,-8.36751,0.0,-0.09686,-0.06009
M2 Quadratic + interaction,TMX,20.23012,1.51972,13.31178,0.0,17.25153,23.20871
M2 Quadratic + interaction,TMX2,-0.12708,0.00939,-13.53122,0.0,-0.14549,-0.10868
M2 Quadratic + interaction,PT,0.08017,0.01599,5.01475,0.0,0.04884,0.1115
M3 M2 + county FE,Intercept,-858.90247,61.23577,-14.02616,0.0,-978.92237,-738.88257
M3 M2 + county FE,PCP,-3.46461,1.29691,-2.67144,0.00755,-6.00651,-0.92272
M3 M2 + county FE,PCP2,-0.0865,0.00944,-9.16194,0.0,-0.105,-0.06799
M3 M2 + county FE,TMX,21.21736,1.51306,14.0228,0.0,18.25182,24.18291
M3 M2 + county FE,TMX2,-0.13218,0.00937,-14.10015,0.0,-0.15055,-0.11381
M3 M2 + county FE,PT,0.06864,0.01514,4.53458,1e-05,0.03897,0.09831
M4 Two-way FE (county + year),Intercept,-524.8129,108.80831,-4.82328,0.0,-738.07326,-311.55254
M4 Two-way FE (county + year),PCP,1.91524,1.46584,1.30659,0.19135,-0.95774,4.78823
M4 Two-way FE (county + year),PCP2,-0.04877,0.00716,-6.8136,0.0,-0.0628,-0.03474
M4 Two-way FE (county + year),TMX,13.1102,2.6716,4.90725,0.0,7.87397,18.34643
M4 Two-way FE (county + year),TMX2,-0.08252,0.01643,-5.0218,0.0,-0.11472,-0.05031
M4 Two-way FE (county + year),PT,-0.01022,0.01772,-0.57697,0.56396,-0.04496,0.02451
M5 Palmer Z specification,Intercept,-1038.40224,55.68221,-18.64873,0.0,-1147.53737,-929.26711
M5 Palmer Z specification,zndx08,0.89315,0.06849,13.04123,0.0,0.75892,1.02739
M5 Palmer Z specification,I(zndx08 ** 2),-0.12009,0.01213,-9.89694,0.0,-0.14387,-0.09631
M5 Palmer Z specification,TMX,25.41001,1.40568,18.07673,0.0,22.65494,28.16509
M5 Palmer Z specification,TMX2,-0.15497,0.00887,-17.47026,0.0,-0.17235,-0.13758
"M6 Raw yield, two-way FE",Intercept,-1818.3259,53.83816,-33.77392,0.0,-1923.84675,-1712.80505
"M6 Raw yield, two-way FE",PCP,-3.51249,1.24048,-2.83155,0.00463,-5.94379,-1.08119
"M6 Raw yield, two-way FE",PCP2,-0.0894,0.00944,-9.47183,0.0,-0.1079,-0.0709
"M6 Raw yield, two-way FE",TMX,22.29194,1.58883,14.03041,0.0,19.17789,25.40599
"M6 Raw yield, two-way FE",TMX2,-0.13899,0.00985,-14.11462,0.0,-0.15829,-0.11969
"M6 Raw yield, two-way FE",PT,0.06959,0.01448,4.80525,0.0,0.04121,0.09798
"M6 Raw yield, two-way FE",year,0.47357,0.01248,37.93907,0.0,0.4491,0.49803
"M7 Log yield, county FE",Intercept,-54.54489,2.79501,-19.51508,0.0,-60.02301,-49.06676
"M7 Log yield, county FE",PCP,-0.08229,0.04336,-1.89794,0.0577,-0.16727,0.00269
"M7 Log yield, county FE",PCP2,-0.00236,0.00027,-8.70471,0.0,-0.00289,-0.00183
"M7 Log yield, county FE",TMX,0.84007,0.07279,11.54054,0.0,0.6974,0.98274
"M7 Log yield, county FE",TMX2,-0.00522,0.00045,-11.52695,0.0,-0.00611,-0.00433
"M7 Log yield, county FE",PT,0.00167,0.0005,3.31166,0.00093,0.00068,0.00266
"M7 Log yield, county FE",year,0.01199,0.0002,59.72292,0.0,0.0116,0.01238
