feature,importance,sd
pdsi_critical,0.07193745427357372,0.02439795308867791
pcp_win,0.0650780034797012,0.0176171727605845
pcp_critical,0.04038126655863187,0.04520903141393353
pcp_grow,0.024673680186150515,0.004622705164754049
climate_normal_tmax,0.005341007619437769,0.0033617265683348746
pcp_grow_cv,0.0037933370533025,0.007849880541127984
hot_month_count,0.0,0.0
tmax_critical,-0.00325525417590955,0.01429295634622103
climate_normal_pcp,-0.009677107246893654,0.0213716804234052
pcp08,-0.01206029229618207,0.005457076959354615
dry_month_count,-0.02177346000429083,0.012262759944357453
pcp07,-0.02719041338165651,0.0060744536277735125
tmp_grow,-0.029072053613964404,0.010232727910171269
tmax08,-0.03325085027059144,0.007060858780055997
heat_x_dry,-0.034568289938836795,0.004246616986299544
zndx07,-0.034979923977369466,0.015137370666554425
zndx08,-0.04487754933415222,0.007804802174833301
pdsi08,-0.04642492595641264,0.010703779681208817
tmin10,-0.06518726673146476,0.009143125068631224
tmp_grow_sd,-0.11917983123590205,0.011901070495447452
