county,fips5,ag_district,n,r_moisture,r_precip,r_heat,beta_moisture_bu_per_sd,beta_heat_bu_per_sd,yield_recent,trend,volatility,normal_pcp,normal_tmax,sensitivity_index
WASHINGTON,27163,EAST CENTRAL,46,0.6068,0.6921,-0.2251,4.2002,-0.5214,51.5727,0.4767,7.1443,8.6222,81.1467,1.0
DAKOTA,27037,SOUTHEAST,45,0.4706,0.5536,-0.1745,2.3949,-0.0756,54.57,0.5262,5.1441,8.5144,81.3689,0.9692
BENTON,27009,CENTRAL,44,0.5,0.6348,-0.1153,3.118,0.0664,44.9556,0.4524,6.2031,7.8511,80.2693,0.9692
WRIGHT,27171,CENTRAL,43,0.4268,0.5153,-0.1585,2.453,-0.0618,52.8625,0.4838,5.7981,7.7719,80.9919,0.9462
REDWOOD,27127,SOUTHWEST,44,0.3256,0.2923,-0.0879,1.8903,0.5528,52.7556,0.4933,4.9198,7.3968,82.275,0.8538
NICOLLET,27103,SOUTH CENTRAL,45,0.3038,0.296,-0.0814,1.8571,0.441,58.18,0.5452,5.4228,7.8342,81.4844,0.8154
MOWER,27099,SOUTHEAST,44,0.413,0.4586,-0.0086,2.504,0.6268,55.9333,0.5598,5.6541,9.1084,79.9591,0.8154
SCOTT,27139,CENTRAL,44,0.3111,0.3325,-0.044,1.8886,0.5032,56.3333,0.5419,5.4344,8.4348,81.4534,0.7923
LAC QUI PARLE,27073,WEST CENTRAL,44,0.3311,0.3493,-0.0256,2.1213,0.8383,51.3444,0.6043,5.2462,7.0011,82.2852,0.7923
YELLOW MEDICINE,27173,WEST CENTRAL,43,0.3188,0.3045,-0.0383,2.0406,0.8326,50.8625,0.4754,5.0861,6.9663,82.2826,0.7923
LYON,27083,SOUTHWEST,42,0.2999,0.2954,-0.0681,2.0653,0.6657,52.0714,0.5063,5.7501,6.9862,82.0571,0.7846
STEARNS,27145,CENTRAL,44,0.3031,0.4501,-0.0469,1.8471,0.2085,49.9667,0.5061,5.9131,7.8695,80.1955,0.7769
FILLMORE,27045,SOUTHEAST,46,0.3375,0.414,0.0076,1.8935,0.386,56.5182,0.6406,5.4026,9.1715,80.2587,0.7692
GOODHUE,27049,SOUTHEAST,45,0.4713,0.5547,0.0442,2.2786,0.7704,57.61,0.6177,4.4229,8.8462,80.7211,0.7692
PINE,27115,EAST CENTRAL,43,0.4213,0.6196,0.0375,2.6469,0.7994,41.6,0.4706,5.8669,7.9491,79.0756,0.7538
MILLE LACS,27095,EAST CENTRAL,45,0.3649,0.4987,0.0281,2.4063,0.7893,40.94,0.3636,6.0375,7.9031,79.6178,0.7462
HENNEPIN,27053,EAST CENTRAL,45,0.2399,0.2735,-0.0545,1.3977,0.0866,50.59,0.489,5.7235,8.354,81.3356,0.7231
RICE,27131,SOUTH CENTRAL,45,0.3003,0.3765,0.014,1.8587,0.7299,56.17,0.528,5.3332,8.9236,80.7767,0.6769
MEEKER,27093,CENTRAL,43,0.2096,0.236,-0.0261,1.2152,0.3799,49.05,0.4357,5.035,7.4933,80.8721,0.6692
TODD,27153,CENTRAL,44,0.3359,0.5058,0.086,2.4318,1.1677,40.7222,0.3323,6.352,7.6102,79.275,0.6615
LE SUEUR,27079,SOUTH CENTRAL,45,0.2347,0.2159,-0.0124,1.3393,0.4157,56.85,0.5593,5.0743,8.5404,81.1278,0.6615
POPE,27121,WEST CENTRAL,45,0.259,0.3117,0.0104,1.3051,0.2784,46.24,0.4382,4.8518,7.646,80.3733,0.6462
OTTER TAIL,27111,WEST CENTRAL,45,0.2633,0.435,0.018,1.4838,0.4929,41.02,0.313,5.1301,7.0309,79.3467,0.6308
COTTONWOOD,27033,SOUTHWEST,46,0.188,0.2045,0.006,1.4414,0.8501,54.9182,0.5292,5.096,7.3691,81.4076,0.6077
OLMSTED,27109,SOUTHEAST,43,0.463,0.5698,0.141,2.8933,1.3338,57.675,0.6463,5.7251,8.9363,80.3826,0.6077
WILKIN,27167,WEST CENTRAL,45,0.1193,0.2145,-0.0665,0.4762,-0.1451,39.24,0.3287,4.3606,6.4827,81.6889,0.5846
