county,fips5,ag_district,baseline_yield,d_S1 Baseline,d_S2 +1C,d_S3 -10% precip,d_S4 +1C and -10% precip,d_S5 +2C,d_S6 +2C and -20% precip,pct_S4
BECKER,27005,NORTHWEST,31.1267,0.0,0.1421,-0.651,-0.1244,0.7874,0.3786,-0.3997
BENTON,27009,CENTRAL,33.175,0.0,0.3455,0.5057,0.9222,0.5914,0.9284,2.7798
BIG STONE,27011,WEST CENTRAL,36.4522,0.0,0.9515,0.1499,0.8013,0.3263,-0.1775,2.1983
BLUE EARTH,27013,SOUTH CENTRAL,45.8326,0.0,1.016,0.722,1.2918,0.4452,0.3777,2.8186
BROWN,27015,SOUTH CENTRAL,44.5326,0.0,0.8794,0.5667,0.9672,0.1287,0.0384,2.1718
CARVER,27019,CENTRAL,44.3935,0.0,0.9419,0.5804,1.3516,0.2448,0.3639,3.0445
CHIPPEWA,27023,WEST CENTRAL,40.7867,0.0,0.9702,0.3959,0.9129,0.1497,-0.1804,2.2382
CHISAGO,27025,EAST CENTRAL,31.2267,0.0,0.9416,0.8424,1.5628,0.9756,1.4016,5.0046
CLAY,27027,NORTHWEST,32.8178,0.0,0.4105,-0.5668,0.2419,0.5165,0.1446,0.7372
COTTONWOOD,27033,SOUTHWEST,44.0522,0.0,0.3634,-0.1393,0.5265,-0.1659,-0.1397,1.1952
DAKOTA,27037,SOUTHEAST,42.6822,0.0,1.0191,0.9087,1.5512,0.2919,0.7231,3.6343
DODGE,27039,SOUTHEAST,45.2457,0.0,0.7499,0.2511,1.0936,1.2727,1.5933,2.417
DOUGLAS,27041,WEST CENTRAL,33.6721,0.0,0.6708,0.0662,0.5298,1.261,0.819,1.5734
FARIBAULT,27043,SOUTH CENTRAL,45.7886,0.0,1.156,0.8035,1.4914,0.5916,0.6785,3.2572
FILLMORE,27045,SOUTHEAST,44.8804,0.0,0.4566,-0.4333,0.4505,0.8837,1.2246,1.0038
FREEBORN,27047,SOUTH CENTRAL,44.787,0.0,0.8081,0.1851,1.0914,1.063,1.3206,2.4368
GOODHUE,27049,SOUTHEAST,45.5044,0.0,0.988,0.5124,1.4849,0.8884,1.1299,3.2633
GRANT,27051,WEST CENTRAL,36.5133,0.0,1.2091,0.3264,1.0619,1.3121,0.73,2.9084
HENNEPIN,27053,EAST CENTRAL,39.5489,0.0,1.1137,0.7892,1.4682,0.5102,0.5883,3.7124
HOUSTON,27055,SOUTHEAST,44.931,0.0,0.7441,0.2467,0.9293,0.5394,0.6774,2.0683
ISANTI,27059,EAST CENTRAL,29.9152,0.0,0.7086,0.6209,1.3288,0.7379,1.3609,4.4417
JACKSON,27063,SOUTHWEST,43.9522,0.0,0.3108,-0.1125,0.5073,-0.3451,-0.3225,1.1543
KANDIYOHI,27067,CENTRAL,39.9714,0.0,1.1689,0.0957,1.0965,1.024,0.7307,2.7433
LAC QUI PARLE,27073,WEST CENTRAL,38.5682,0.0,0.8031,0.2625,0.7096,-0.1781,-0.4826,1.8398
LE SUEUR,27079,SOUTH CENTRAL,44.26,0.0,0.9104,0.7119,1.4098,0.4718,0.6777,3.1852
LINCOLN,27081,SOUTHWEST,37.3381,0.0,0.3218,-0.7303,0.1646,0.6205,0.2845,0.441
LYON,27083,SOUTHWEST,40.4667,0.0,0.5865,-0.0574,0.5172,-0.0589,-0.3952,1.2781
MAHNOMEN,27087,NORTHWEST,30.231,0.0,-0.0109,-0.6537,-0.2665,0.6619,0.3476,-0.8814
MARSHALL,27089,NORTHWEST,28.1652,0.0,-0.2504,-0.4664,-0.5564,0.3277,-0.2283,-1.9755
