scenario,horizon,model,mean_delta_bu,pct_of_mean_yield,mean_delta_bu_parametric,pct_parametric,out_of_range_pct,dTmax_JA_C,precip_JA_pct
ssp245,late_century,ACCESS-ESM1-5,-0.5318,-1.1749,-5.1134,-11.2958,17.6006,3.8407,2.7136
ssp245,late_century,CanESM5,0.3769,0.8327,-7.9085,-17.4704,38.509,5.0029,-1.4648
ssp245,late_century,EC-Earth3,-1.1176,-2.4689,-8.0208,-17.7185,29.1286,4.3699,-14.3959
ssp245,late_century,GFDL-ESM4,0.307,0.6781,-1.6724,-3.6945,5.3073,2.4466,15.268
ssp245,late_century,INM-CM5-0,-0.2024,-0.4471,-2.386,-5.2707,6.1219,2.5897,6.9069
ssp245,late_century,MIROC6,-0.0187,-0.0413,-1.9043,-4.2067,3.6781,2.1386,5.8149
ssp245,late_century,MPI-ESM1-2-LR,-0.419,-0.9257,-1.95,-4.3076,3.0116,1.8392,-0.6319
ssp245,late_century,MRI-ESM2-0,-0.2508,-0.554,-2.5756,-5.6896,4.468,2.3913,1.2813
ssp245,mid_century,ACCESS-ESM1-5,-0.9621,-2.1254,-5.4687,-12.0807,15.2802,3.6674,-5.8293
ssp245,mid_century,CanESM5,0.108,0.2387,-8.4162,-18.5919,38.2868,4.9235,-6.7959
ssp245,mid_century,EC-Earth3,-1.2893,-2.8481,-4.3905,-9.6989,7.8993,2.7654,-12.1151
ssp245,mid_century,GFDL-ESM4,-0.0942,-0.2082,-1.3595,-3.0032,2.8141,1.7929,6.9195
ssp245,mid_century,INM-CM5-0,-0.4476,-0.9889,-1.3985,-3.0893,2.1476,1.6101,1.7014
ssp245,mid_century,MIROC6,-0.1573,-0.3474,-1.5457,-3.4144,3.2585,1.9851,7.0168
ssp245,mid_century,MPI-ESM1-2-LR,-0.0919,-0.203,-1.0538,-2.3279,2.0736,1.3662,3.7126
ssp245,mid_century,MRI-ESM2-0,-0.5092,-1.1249,-2.5708,-5.6791,3.7522,2.1953,-3.0166
ssp585,late_century,ACCESS-ESM1-5,1.0892,2.4061,-10.2588,-22.6623,69.6865,6.0857,2.8267
ssp585,late_century,CanESM5,1.8987,4.1943,-13.0092,-28.7381,95.4332,7.5973,15.2374
ssp585,late_century,EC-Earth3,-1.6944,-3.7431,-19.6415,-43.3891,88.941,7.5026,-30.3816
ssp585,late_century,GFDL-ESM4,-0.6973,-1.5405,-7.1407,-15.7742,26.0183,4.3644,-8.7595
ssp585,late_century,INM-CM5-0,-0.1976,-0.4366,-6.9348,-15.3193,28.1412,4.5589,-2.9083
ssp585,late_century,MIROC6,0.2796,0.6177,-4.4159,-9.7549,17.3291,3.907,9.8668
ssp585,late_century,MPI-ESM1-2-LR,-1.0632,-2.3486,-10.5177,-23.2342,47.5438,5.3107,-16.7168
ssp585,late_century,MRI-ESM2-0,-0.1389,-0.3069,-6.1954,-13.6861,21.9205,4.1892,-2.3278
ssp585,mid_century,ACCESS-ESM1-5,-0.4528,-1.0002,-5.281,-11.666,17.4772,3.8212,0.4769
ssp585,mid_century,CanESM5,0.6053,1.3372,-9.0034,-19.889,47.9635,5.3186,-4.3772
ssp585,mid_century,EC-Earth3,-1.1687,-2.5818,-7.4113,-16.3719,25.6974,4.2008,-13.0493
ssp585,mid_century,GFDL-ESM4,0.202,0.4462,-2.0573,-4.5446,5.0852,2.3407,8.1716
ssp585,mid_century,INM-CM5-0,-0.1028,-0.2271,-2.1474,-4.7438,4.6161,2.4756,6.9639
ssp585,mid_century,MIROC6,0.263,0.5811,-0.7224,-1.5958,2.7154,1.8397,16.2139
ssp585,mid_century,MPI-ESM1-2-LR,-0.3399,-0.7509,-1.6325,-3.6063,2.4932,1.7557,0.5546
ssp585,mid_century,MRI-ESM2-0,-0.374,-0.8263,-3.0077,-6.6442,6.1219,2.5963,-0.8625
