county,fips5,ag_district,baseline_yield,delta_bu,delta_bu_parametric,pct,pct_parametric,scenario,horizon
ADAMS,17001,WEST,42.7372,-0.4481,-3.4349,-1.0485,-8.0373,ssp245,late_century
BOND,17005,WEST SOUTHWEST,38.5907,-0.241,-3.268,-0.6245,-8.4683,ssp245,late_century
BOONE,17007,NORTHEAST,46.5783,0.3145,-1.232,0.6751,-2.645,ssp245,late_century
BROWN,17009,WEST,43.6044,-0.6913,-3.2974,-1.5854,-7.562,ssp245,late_century
BUREAU,17011,NORTHWEST,51.3043,0.0286,-1.706,0.0558,-3.3253,ssp245,late_century
CALHOUN,17013,WEST SOUTHWEST,42.2833,-0.213,-3.7509,-0.5038,-8.8709,ssp245,late_century
CARROLL,17015,NORTHWEST,53.6891,-0.1973,-1.3422,-0.3674,-2.5,ssp245,late_century
CASS,17017,WEST SOUTHWEST,47.2023,-0.5138,-3.3844,-1.0886,-7.1701,ssp245,late_century
CHAMPAIGN,17019,EAST,50.9205,-0.0198,-2.3414,-0.0389,-4.5982,ssp245,late_century
CHRISTIAN,17021,WEST SOUTHWEST,50.5791,-0.6407,-3.2156,-1.2668,-6.3575,ssp245,late_century
CLARK,17023,EAST SOUTHEAST,44.8977,-0.4616,-2.4433,-1.0281,-5.442,ssp245,late_century
CLAY,17025,EAST SOUTHEAST,36.8326,-0.2865,-2.7209,-0.7777,-7.3871,ssp245,late_century
CLINTON,17027,SOUTHWEST,39.0711,0.0674,-3.3645,0.1725,-8.6112,ssp245,late_century
COLES,17029,EAST SOUTHEAST,49.1884,-0.4683,-2.5987,-0.9521,-5.2831,ssp245,late_century
CRAWFORD,17033,EAST SOUTHEAST,42.3043,-0.1158,-2.3985,-0.2737,-5.6695,ssp245,late_century
CUMBERLAND,17035,EAST SOUTHEAST,43.7279,-0.3161,-2.5996,-0.7229,-5.945,ssp245,late_century
DE KALB,17037,NORTHEAST,50.4911,-0.0473,-1.1652,-0.0937,-2.3076,ssp245,late_century
