feature,importance,sd,kind
pcp_critical,0.10391031943193445,0.01205645815035647,climate
pcp_grow,0.08171272899899133,0.008079625565619938,climate
tmax08,0.06089321073448678,0.010472961966627253,climate
heat_x_dry,0.054990666078019806,0.00987326771372333,climate
tmp_grow_sd,0.05176199603006975,0.011074285014834711,climate
pdsi_critical,0.045540335632638936,0.005959606176954012,climate
pcp_grow_cv,0.04425219395279054,0.0045516653064851306,climate
tmax_critical,0.026907174465316337,0.0036487487157572116,climate
pcp_win,0.0069112079853907065,0.003145992838408514,climate
dry_month_count,0.006879672830659729,0.003617817643389308,climate
zndx08,0.006799929881968046,0.0017815564568687348,climate
pdsi08,0.004920840758713944,0.0011137580463611901,climate
pcp08,0.004389158552238065,0.0015569021903968424,climate
tmp_grow,0.004048567985922032,0.006894787248076873,climate
tmin10,0.0037602207531380696,0.008506179559040174,climate
soil_awc_subsoil,0.003335090650002648,0.0011775731000008456,soil
soil_ksat_topsoil,0.0018649233854907872,0.0012384706513679689,soil
soil_drain_somewhat_poorly_pct,0.001488845651814008,0.0005918627224205966,soil
soil_aws_0_100cm,0.0014510888876828238,0.0003161624923319321,soil
zndx07,0.0012393223496094952,0.0035054686426958734,climate
soil_cec_subsoil,0.0005936590840991962,0.00029987652567021523,soil
soil_slope,0.0005754630776832748,0.00026930786036414054,soil
soil_bd_subsoil,0.00038959228235445803,0.0002676430509401611,soil
soil_ksat_subsoil,0.0002762163404665859,0.00033156069304206314,soil
hot_month_count,0.00025771208892968095,0.0001592443169701192,climate
soil_sand_subsoil,0.00018329509319821766,0.00011002625035900818,soil
soil_drain_well_pct,0.00010276895804433213,0.0001204557978507645,soil
soil_awc_topsoil,9.584604315661845e-05,0.00030784859987703053,soil
soil_mollisol_pct,1.5429510012682224e-05,8.215790193146148e-05,soil
soil_drain_mod_well_pct,0.0,0.0,soil
soil_clay_topsoil,0.0,0.0,soil
soil_drain_poorly_pct,0.0,0.0,soil
soil_clay_subsoil,0.0,0.0,soil
soil_sand_topsoil,0.0,0.0,soil
soil_bd_topsoil,0.0,0.0,soil
soil_cec_topsoil,0.0,0.0,soil
soil_silt_subsoil,-0.00020477740991079832,0.00014082275368154748,soil
climate_normal_pcp,-0.00026011543061043213,0.0004596273222713233,climate
soil_silt_topsoil,-0.0003667099081660352,0.0001354165815311848,soil
pcp07,-0.00045712213045593736,0.000804589164608659,climate
soil_om_subsoil,-0.0011947024886893216,0.0007778023856908425,soil
soil_ph_subsoil,-0.0020913555636118686,0.0009108899240088817,soil
soil_ph_topsoil,-0.0024039873351624497,0.0008158712330796964,soil
soil_om_topsoil,-0.004235412093159076,0.0014424230873989737,soil
climate_normal_tmax,-0.00920522807869282,0.0013870686140202248,climate
