feature,r,abs_r
win_hot_days,-0.4958,0.4958
wb_season_deficit_mm,-0.49559,0.49559
win_edd,-0.48653,0.48653
win_vpd_max,-0.47108,0.47108
season_edd,-0.45243,0.45243
win_vpd_mean,-0.41908,0.41908
season_prcp_mm,0.35216,0.35216
win_tmax_mean,-0.33192,0.33192
wb_min_water_frac,0.32279,0.32279
win_water_deficit_mm,-0.3182,0.3182
wb_stress_days,-0.31669,0.31669
win_et0_mm,-0.30167,0.30167
win_prcp_mm,0.24436,0.24436
win_gdd,-0.17171,0.17171
plant_doy,-0.12424,0.12424
window_days,0.06103,0.06103
end_doy,-0.05374,0.05374
season_gdd,-0.05277,0.05277
