feature,importance,sd,kind
pcp_critical,0.10680926297685849,0.013544390064880864,calendar
season_prcp_mm,0.06727917365086043,0.017234077436464573,process
pcp_grow,0.06111466820469006,0.006907519599472016,calendar
wb_min_water_frac,0.04213419584723835,0.015991256735796242,process
win_tmax_mean,0.03963444638036378,0.004814757863530818,process
tmax08,0.03607912928715829,0.0181054925307853,calendar
pcp_grow_cv,0.034340328554302135,0.007210237214838542,calendar
season_edd,0.027309716559698948,0.017970096004297116,process
zndx07,0.023467317671405447,0.007294617900103117,calendar
win_vpd_mean,0.02269250022382488,0.006252544188143957,process
tmin10,0.021414635488401234,0.006608257438349058,calendar
tmp_grow_sd,0.02108980433755082,0.008265895285623591,calendar
tmp_grow,0.020674921221529502,0.00304949645346557,calendar
pdsi_critical,0.020447398660389,0.0040234378755217865,calendar
tmax_critical,0.020183035956339152,0.003917976395775248,calendar
win_et0_mm,0.019424733043138492,0.00522016733590154,process
plant_doy,0.019248302386081866,0.0027643489096831056,process
dry_month_count,0.01634156470918623,0.005332088561957501,calendar
heat_x_dry,0.01506762966827338,0.009695841368709638,calendar
pcp_win,0.014614471481414685,0.0032929440390876068,calendar
win_vpd_max,0.013696058744675471,0.0053272885744514815,process
climate_normal_tmax,0.012188301627485928,0.005802420315211268,calendar
r6_doy,0.010568406740805095,0.006088486138416393,process
wb_season_deficit_mm,0.00681011553425076,0.0018649902922557803,process
win_water_deficit_mm,0.0045821893764712756,0.000901693596865806,process
pcp07,0.001702677572667714,0.0019758679338966736,calendar
podfill_days,0.0015358826132745584,0.0006860464233484961,process
seedfill_days,0.0009574172559961014,0.00018480039650567494,process
pcp08,0.0004544365649477485,0.0009687213170431668,calendar
climate_normal_pcp,0.00045085312809572953,0.0008051466046736054,calendar
hot_month_count,0.0,0.0,calendar
zndx08,-5.320914817225075e-05,0.0010879999254830284,calendar
wb_stress_days,-0.0021596823669774077,0.0006100623538775688,process
win_hot_days,-0.0029033574408337906,0.0021014683138240297,process
win_prcp_mm,-0.003355519935475467,0.0014969102369264081,process
pdsi08,-0.003879008814018342,0.0016888210911928697,calendar
win_edd,-0.00415366059695622,0.0009977547037364957,process
