scenario,horizon,model,delta_gbm,delta_sr,edd_mean,edd_ratio,out_of_range_pct,end_shift_days,window_shift_days,plant_shift_days,r3_shift_days,dTmax_JA_C
ssp245,late_century,ACCESS-ESM1-5,0.8507,-5.2694,105.1416,4.4914,18.939,-6.1384,5.2037,-12.8783,-23.0466,3.8407
ssp245,late_century,CanESM5,-0.195,-8.9078,139.0239,5.9387,34.8795,-5.9767,5.0536,-12.4031,-22.4313,5.0029
ssp245,late_century,EC-Earth3,-1.1012,-6.4817,110.1067,4.7035,22.7576,-5.225,4.4131,-11.5715,-19.5853,4.3699
ssp245,late_century,GFDL-ESM4,1.978,-1.8576,65.6307,2.8036,6.3301,-4.4705,3.7868,-9.6233,-16.7852,2.4466
ssp245,late_century,INM-CM5-0,0.7315,-2.2305,66.3136,2.8327,7.0477,-3.8332,3.2468,-8.0802,-14.3795,2.5897
ssp245,late_century,MIROC6,1.2449,-1.4478,60.3101,2.5763,5.6381,-3.9736,3.3621,-8.5771,-14.9085,2.1386
ssp245,late_century,MPI-ESM1-2-LR,0.5837,-0.9381,50.823,2.171,3.8954,-3.2599,2.7365,-7.4098,-12.2048,1.8392
ssp245,late_century,MRI-ESM2-0,1.4913,-1.8371,67.1901,2.8702,6.7401,-4.8478,4.0997,-11.2875,-18.1894,2.3913
ssp245,mid_century,ACCESS-ESM1-5,-0.0839,-4.6862,94.8793,4.053,14.7617,-5.2635,4.449,-11.1535,-19.7504,3.6674
ssp245,mid_century,CanESM5,-0.9593,-8.174,126.9281,5.422,29.062,-5.0897,4.3296,-9.7414,-19.1287,4.9235
ssp245,mid_century,EC-Earth3,0.1098,-2.5704,67.5714,2.8865,6.9964,-4.2542,3.6017,-9.235,-15.9572,2.7654
ssp245,mid_century,GFDL-ESM4,1.0199,-1.0368,49.5774,2.1178,3.9211,-3.0231,2.5533,-5.7435,-11.3301,1.7929
ssp245,mid_century,INM-CM5-0,0.1435,-0.9448,45.7292,1.9534,3.0497,-2.418,2.0151,-5.172,-9.0297,1.6101
ssp245,mid_century,MIROC6,0.6041,-1.2625,54.3733,2.3227,4.5361,-3.1861,2.692,-7.2632,-11.9462,1.9851
ssp245,mid_century,MPI-ESM1-2-LR,0.5427,-0.4759,41.7323,1.7827,2.5884,-2.3921,1.981,-4.7991,-8.8995,1.3662
ssp245,mid_century,MRI-ESM2-0,0.6421,-1.7021,59.1928,2.5286,5.1768,-3.8713,3.2814,-8.2906,-14.5366,2.1953
ssp585,late_century,ACCESS-ESM1-5,-1.4716,-15.5606,210.2279,8.9804,75.4229,-8.1394,6.8816,-15.857,-30.5366,6.0857
ssp585,late_century,CanESM5,-0.5843,-24.889,298.2767,12.7416,96.6684,-8.9159,7.5238,-17.2532,-33.4454,7.5973
ssp585,late_century,EC-Earth3,-4.0683,-19.9872,241.1926,10.3031,83.06,-7.4823,6.3101,-16.3147,-28.0761,7.5026
ssp585,late_century,GFDL-ESM4,-0.1363,-6.7271,116.1048,4.9597,24.0646,-5.8737,4.9751,-12.3813,-22.0487,4.3644
ssp585,late_century,INM-CM5-0,0.1348,-6.894,118.4692,5.0607,24.8078,-5.4864,4.6386,-11.6274,-20.5928,4.5589
ssp585,late_century,MIROC6,1.5424,-6.0683,116.3415,4.9698,23.142,-6.3813,5.4131,-13.8357,-23.9813,3.907
ssp585,late_century,MPI-ESM1-2-LR,-1.6186,-10.224,152.8572,6.5296,41.7478,-6.6069,5.5999,-14.4908,-24.8132,5.3107
ssp585,late_century,MRI-ESM2-0,0.9891,-6.3683,120.5044,5.1476,25.0641,-6.724,5.6989,-14.7271,-25.2496,4.1892
ssp585,mid_century,ACCESS-ESM1-5,0.2364,-5.0933,100.8082,4.3063,16.94,-5.5566,4.704,-12.1935,-20.8657,3.8212
ssp585,mid_century,CanESM5,-0.6485,-10.3999,153.5284,6.5583,42.4654,-6.2437,5.295,-12.7435,-23.4575,5.3186
ssp585,mid_century,EC-Earth3,-0.8796,-5.8331,103.2804,4.4119,19.3747,-5.0628,4.2893,-12.0146,-18.9997,4.2008
ssp585,mid_century,GFDL-ESM4,1.1703,-1.858,63.4233,2.7093,6.6632,-4.0666,3.4405,-8.8573,-15.2668,2.3407
ssp585,mid_century,INM-CM5-0,0.7867,-2.3072,67.9808,2.904,6.9452,-3.9503,3.3385,-8.1989,-14.8186,2.4756
ssp585,mid_century,MIROC6,1.7656,-0.9239,55.7586,2.3819,4.6899,-4.0338,3.4139,-8.6358,-15.1384,1.8397
ssp585,mid_century,MPI-ESM1-2-LR,0.8979,-0.7072,49.4947,2.1143,3.8954,-3.46,2.93,-7.9088,-12.9846,1.7557
ssp585,mid_century,MRI-ESM2-0,1.19,-2.4804,71.9456,3.0733,7.9959,-4.9259,4.1694,-10.6194,-18.4887,2.5963
