scenario,horizon,model,delta_gbm,delta_sr,edd_mean,edd_ratio,out_of_range_pct,end_shift_days,window_shift_days,plant_shift_days,r3_shift_days,dTmax_JA_C
ssp245,late_century,ACCESS-ESM1-5,-0.2346,-4.9206,103.4505,4.417,17.5807,-9.1568,4.3178,-12.8783,-23.0466,3.8407
ssp245,late_century,CanESM5,-0.8901,-8.3581,135.5683,5.7884,32.9831,-10.0108,4.7291,-12.4031,-22.4313,5.0029
ssp245,late_century,EC-Earth3,-1.5729,-6.1549,108.2,4.6198,21.2968,-8.5443,4.0349,-11.5715,-19.5853,4.3699
ssp245,late_century,GFDL-ESM4,1.5994,-1.7536,65.0693,2.7783,6.1763,-6.1094,2.8901,-9.6233,-16.7852,2.4466
ssp245,late_century,INM-CM5-0,0.5902,-2.1369,65.5995,2.8009,6.7914,-5.9088,2.7945,-8.0802,-14.3795,2.5897
ssp245,late_century,MIROC6,1.0393,-1.3893,59.5922,2.5444,5.3819,-5.7737,2.7304,-8.5771,-14.9085,2.1386
ssp245,late_century,MPI-ESM1-2-LR,0.472,-0.8857,50.4056,2.1522,3.7929,-4.6761,2.2301,-7.4098,-12.2048,1.8392
ssp245,late_century,MRI-ESM2-0,1.1143,-1.6867,66.2441,2.8284,6.2788,-6.8624,3.2437,-11.2875,-18.1894,2.3913
ssp245,mid_century,ACCESS-ESM1-5,-0.7999,-4.4096,93.1873,3.9788,13.5828,-8.2068,3.8693,-11.1535,-19.7504,3.6674
ssp245,mid_century,CanESM5,-1.4787,-7.793,124.5389,5.3175,28.1138,-8.8644,4.185,-9.7414,-19.1287,4.9235
ssp245,mid_century,EC-Earth3,-0.4522,-2.465,67.0922,2.8646,6.7914,-6.0492,2.8629,-9.235,-15.9572,2.7654
ssp245,mid_century,GFDL-ESM4,0.911,-1.0166,49.3132,2.1055,3.8186,-4.2071,1.9805,-5.7435,-11.3301,1.7929
ssp245,mid_century,INM-CM5-0,0.2132,-0.8914,45.4988,1.9427,2.9985,-3.7166,1.7691,-5.172,-9.0297,1.6101
ssp245,mid_century,MIROC6,0.5408,-1.1615,53.8788,2.3005,4.3567,-4.7673,2.2378,-7.2632,-11.9462,1.9851
ssp245,mid_century,MPI-ESM1-2-LR,0.5123,-0.4151,41.54,1.7736,2.5884,-3.3411,1.5738,-4.7991,-8.8995,1.3662
ssp245,mid_century,MRI-ESM2-0,0.3728,-1.6053,58.5906,2.5016,5.0231,-5.6943,2.7186,-8.2906,-14.5366,2.1953
ssp585,late_century,ACCESS-ESM1-5,-2.4318,-14.4226,200.5114,8.5613,71.553,-13.6748,6.4741,-15.857,-30.5366,6.0857
ssp585,late_century,CanESM5,-1.1753,-23.0621,282.1847,12.0485,95.5664,-15.6617,7.4182,-17.2532,-33.4454,7.5973
ssp585,late_century,EC-Earth3,-4.8327,-18.5568,229.0578,9.7801,79.7027,-13.56,6.4223,-16.3147,-28.0761,7.5026
ssp585,late_century,GFDL-ESM4,-0.9015,-6.2562,113.6146,4.851,22.3988,-9.3155,4.4162,-12.3813,-22.0487,4.3644
ssp585,late_century,INM-CM5-0,-0.2784,-6.4469,115.8192,4.9451,23.4495,-9.3111,4.4026,-11.6274,-20.5928,4.5589
ssp585,late_century,MIROC6,0.8816,-5.5276,112.6992,4.8119,21.348,-9.9116,4.695,-13.8357,-23.9813,3.907
ssp585,late_century,MPI-ESM1-2-LR,-2.2744,-9.5263,147.2366,6.2866,38.9288,-11.2225,5.3178,-14.4908,-24.8132,5.3107
ssp585,late_century,MRI-ESM2-0,0.1834,-5.8719,117.2246,5.0052,23.8852,-10.4634,4.948,-14.7271,-25.2496,4.1892
ssp585,mid_century,ACCESS-ESM1-5,-0.5581,-4.7588,98.96,4.2253,15.7355,-8.6056,4.0838,-12.1935,-20.8657,3.8212
ssp585,mid_century,CanESM5,-1.3094,-9.6883,148.4298,6.3375,40.0308,-10.7168,5.0695,-12.7435,-23.4575,5.3186
ssp585,mid_century,EC-Earth3,-1.4095,-5.5228,101.5641,4.3365,18.6058,-8.2253,3.8929,-12.0146,-18.9997,4.2008
ssp585,mid_century,GFDL-ESM4,0.7641,-1.7758,62.7846,2.6807,6.4582,-5.7248,2.714,-8.8573,-15.2668,2.3407
ssp585,mid_century,INM-CM5-0,0.704,-2.1935,67.1423,2.8668,6.612,-6.2471,2.9439,-8.1989,-14.8186,2.4756
ssp585,mid_century,MIROC6,1.5232,-0.8301,55.2083,2.3572,4.4849,-5.59,2.6458,-8.6358,-15.1384,1.8397
ssp585,mid_century,MPI-ESM1-2-LR,0.657,-0.6594,49.0958,2.0963,3.6904,-4.827,2.306,-7.9088,-12.9846,1.7557
ssp585,mid_century,MRI-ESM2-0,0.6103,-2.3037,71.0193,3.0323,7.8421,-7.1025,3.3611,-10.6194,-18.4887,2.5963
