scenario,horizon,mg,mature_rate,seedfill,podfill,r6_doy,r8_doy,frost_margin,season_edd,win_edd,water_deficit,pred
baseline,baseline,2.0,0.9352,20.2504,34.7661,238.632,249.2549,57.1361,17.7907,10.8615,26.77,0.0845
baseline,baseline,2.5,0.9132,21.4153,36.6113,242.3304,253.5412,53.1492,19.0892,11.4735,30.6774,0.044
baseline,baseline,3.0,0.8733,22.93,38.7763,246.3937,257.6615,49.3901,20.2846,11.9455,34.8384,0.0226
baseline,baseline,3.5,0.8404,24.4892,40.9773,250.3368,261.7863,45.4824,21.611,12.4695,39.2905,-0.0426
baseline,baseline,4.0,0.8033,25.8987,43.0366,253.9671,266.065,41.3439,22.99,12.9132,44.286,-0.0769
baseline,baseline,4.5,0.7534,27.5704,45.3026,257.6615,270.3157,37.4121,24.3853,13.2298,49.6965,-0.1283
baseline,baseline,5.0,0.6985,29.2165,47.47,261.2263,274.7447,33.3901,25.8587,13.5301,55.9027,-0.2387
ssp245,late_century,2.0,1.0,16.5684,29.1771,217.4095,226.3583,92.3421,36.6216,21.1248,22.5866,-1.648
ssp245,late_century,2.5,0.9997,17.3129,30.4252,220.6353,230.061,88.6337,39.413,22.7003,25.5969,-1.826
ssp245,late_century,3.0,0.9987,18.0497,31.7227,223.8957,233.8682,84.8265,42.1293,24.2215,28.8553,-2.0681
ssp245,late_century,3.5,0.9972,18.8244,33.0543,227.1871,237.7525,80.9559,44.7223,25.6063,32.3708,-2.279
ssp245,late_century,4.0,0.9941,19.5793,34.4045,230.4786,241.6269,77.1585,47.4064,27.0595,35.8878,-2.4687
ssp245,late_century,4.5,0.9869,20.4268,35.8485,233.8682,245.6039,73.2457,50.3231,28.6768,39.5484,-2.6896
ssp245,late_century,5.0,0.9756,21.3409,37.3829,237.3126,249.6232,69.2816,53.1293,30.072,43.1999,-2.8992
ssp245,mid_century,2.0,0.9979,16.9564,29.8042,221.7142,230.9107,85.7292,32.0925,19.2,22.7322,-1.2574
ssp245,mid_century,2.5,0.9967,17.7421,31.1364,225.0518,234.7862,81.8743,34.4969,20.6058,25.8199,-1.4524
ssp245,mid_century,3.0,0.9959,18.5108,32.4843,228.3514,238.875,77.8043,36.9229,21.9912,29.2725,-1.6428
ssp245,mid_century,3.5,0.9864,19.3528,33.9125,231.7584,242.8499,73.9216,39.2614,23.2288,32.8354,-1.8168
ssp245,mid_century,4.0,0.9781,20.2699,35.4378,235.2136,247.0368,69.8873,41.813,24.6074,36.5959,-2.0054
ssp245,mid_century,4.5,0.9604,21.3372,37.1281,238.875,251.0252,66.0446,44.3246,25.8543,40.5118,-2.1979
ssp245,mid_century,5.0,0.9395,22.4351,38.8233,242.3795,254.9536,62.2946,46.9068,27.1315,44.7802,-2.3783
ssp585,late_century,2.0,0.9864,15.0528,26.6486,207.5169,215.5966,117.3967,62.8099,37.1923,22.6721,-4.1079
ssp585,late_century,2.5,0.9864,15.6896,27.7706,210.4557,218.8954,114.0987,67.5818,39.8724,25.3403,-4.5269
ssp585,late_century,3.0,0.9864,16.3578,28.8954,213.3936,222.1973,110.7948,72.5354,42.7206,28.5569,-4.9796
ssp585,late_century,3.5,0.9864,17.0049,30.012,216.3165,225.5064,107.4843,77.6183,45.6929,32.1109,-5.403
ssp585,late_century,4.0,0.9864,17.6666,31.1543,219.2565,228.8388,104.1484,82.7401,48.5197,35.9603,-5.8348
ssp585,late_century,4.5,0.9864,18.3396,32.3116,222.1973,232.1807,100.8028,87.6341,51.0593,40.0244,-6.2706
ssp585,late_century,5.0,0.9864,19.0072,33.4918,225.1376,235.5666,97.417,92.511,53.5249,44.2404,-6.6898
ssp585,mid_century,2.0,1.0,16.429,28.9877,217.7245,226.5779,91.8326,37.422,22.1942,21.606,-1.6693
ssp585,mid_century,2.5,0.9997,17.1468,30.2283,220.9188,230.2435,88.1612,40.3746,23.9253,24.5746,-1.9067
ssp585,mid_century,3.0,0.9995,17.879,31.48,224.1417,233.968,84.4368,43.2033,25.5156,27.8323,-2.1854
ssp585,mid_century,3.5,0.9974,18.6233,32.7801,227.389,237.8436,80.5611,45.9604,27.0632,31.3731,-2.4285
ssp585,mid_century,4.0,0.9964,19.3825,34.0982,230.6455,241.7318,76.7331,48.7597,28.5376,35.0682,-2.6638
ssp585,mid_century,4.5,0.991,20.173,35.5029,233.968,245.7098,72.7993,51.7597,30.1786,38.9533,-2.9107
ssp585,mid_century,5.0,0.981,21.0772,36.9946,237.3881,249.7019,68.8885,54.6304,31.5677,42.9018,-3.1406
