year,blooming,harvested,leaves,planted,pods
1980,,,,138.68,
1981,201.56,284.3,266.5,154.63,219.25
1982,,277.35,259.2,137.59,211.25
1983,199.05,276.84,258.31,150.59,216.41
1984,202.0,284.18,262.92,153.38,216.41
1985,194.36,282.5,261.23,138.0,210.84
1986,190.35,289.0,254.2,136.65,206.25
1987,,270.64,252.18,132.33,
1988,191.03,276.0,257.92,133.07,210.41
1989,194.52,280.71,265.04,138.55,211.0
1990,207.12,292.04,269.5,155.4,223.61
1991,181.7,272.58,255.14,137.83,
1992,197.25,281.29,262.17,134.8,215.88
1993,204.17,282.84,267.55,148.32,221.47
1994,195.42,278.25,258.88,142.0,212.35
1995,210.3,279.4,266.71,161.61,226.45
1996,212.67,291.31,274.25,165.2,
1997,201.28,278.8,264.5,134.28,217.12
1998,201.08,284.32,263.0,144.0,216.59
1999,195.35,282.59,259.85,144.03,211.6
2000,192.91,281.09,258.1,131.16,208.75
2001,194.25,279.42,259.0,129.03,208.65
2002,200.88,282.5,264.7,151.76,216.32
2003,201.88,281.23,264.0,143.64,219.67
2004,190.59,277.0,259.64,134.96,207.88
2005,189.65,278.63,256.41,130.48,207.72
2006,193.5,281.75,264.2,141.88,212.88
2007,188.76,274.96,256.38,134.35,206.64
2008,207.5,287.94,270.52,150.28,221.54
2009,208.65,308.09,273.0,155.48,224.5
2010,194.33,276.0,257.43,143.81,211.16
2011,199.59,282.0,265.43,143.75,214.92
2012,192.0,281.95,261.67,135.17,207.33
2013,202.0,286.48,268.14,153.54,219.21
2014,194.0,295.5,265.52,141.5,210.0
2015,198.17,277.32,261.73,137.95,213.33
2016,195.67,287.05,266.29,142.68,212.61
2017,195.32,280.36,265.04,142.0,211.0
2018,184.1,279.56,256.33,129.97,197.91
2019,208.36,292.44,274.62,160.33,223.39
2020,199.06,283.65,266.62,134.06,214.12
2021,192.78,289.12,260.67,125.94,210.0
2022,202.5,287.54,263.86,138.5,215.79
2023,193.33,283.47,257.13,122.85,208.0
2024,191.13,282.8,255.89,137.05,206.5
2025,192.6,289.45,254.08,130.61,208.0
2026,194.11,,,125.55,207.0
