year,ge_aug,yield_anom,season_edd,wb_min_water_frac,win_prcp_mm
1986,92.4,4.263,10.589,0.253,116.163
1987,76.2,1.522,30.959,0.33,137.126
1988,10.5,-9.114,88.676,0.129,87.289
1989,77.75,1.475,16.683,0.265,152.183
1990,74.25,0.504,10.026,0.297,113.74
1991,31.0,-0.5,19.689,0.152,85.833
1992,85.8,2.831,8.416,0.285,110.305
1993,82.2,2.118,4.02,0.689,194.33
1994,67.5,4.306,6.336,0.226,105.269
1995,59.0,-2.451,8.235,0.376,129.16
1996,37.5,-1.703,10.386,0.195,84.796
1997,46.6,0.013,23.037,0.269,140.091
1998,65.4,0.673,6.635,0.413,128.75
1999,48.6,-2.776,30.718,0.183,89.21
2000,77.75,-0.758,14.39,0.332,126.01
2001,55.5,-0.268,33.878,0.213,119.381
2002,42.5,-3.965,17.443,0.22,123.831
2003,65.4,-9.013,28.344,0.138,80.333
2004,74.6,2.664,5.384,0.249,141.331
2005,23.0,-1.747,52.555,0.161,98.586
2006,68.5,-0.553,33.08,0.287,124.203
2007,60.25,-6.184,24.636,0.273,119.623
2008,66.0,-2.716,2.552,0.316,197.22
2009,59.6,-4.28,3.698,0.478,164.3
2010,62.4,0.366,11.393,0.414,141.618
2011,53.75,-3.731,15.572,0.236,78.107
2012,11.75,-9.658,103.855,0.078,62.465
2013,67.25,-2.918,8.265,0.17,80.228
2014,77.8,1.78,4.123,0.324,158.121
2015,51.0,1.265,3.163,0.358,112.013
2016,79.0,3.969,7.145,0.607,197.499
2017,61.0,1.921,18.232,0.178,92.327
2018,74.5,6.857,14.529,0.272,110.313
2019,42.25,-2.845,2.93,0.281,136.191
2020,75.0,2.675,6.559,0.343,140.676
2021,70.8,6.422,6.332,0.389,109.615
2022,68.25,4.054,17.59,0.4,158.848
2023,65.25,3.044,30.926,0.272,132.191
2024,70.25,2.941,13.726,0.388,140.078
